site_id,removal_date,pit_tag_id
72808,2017-09-08,80047859
72808,2017-09-08,900043000108101
72808,2017-09-08,900043000108118
72808,2017-09-08,900043000108119
72808,2017-09-08,900043000108128
72808,2017-09-08,900043000108176
72808,2017-09-08,900043000108254
72808,2017-09-08,900043000108299
72808,2017-09-08,900043000108321
72808,2017-09-08,900043000108325
72808,2017-09-08,900043000108333
72808,2017-09-08,900043000108341
72808,2017-09-08,900043000108384
72808,2017-09-08,900043000108386
72808,2017-09-08,900067000078294
72808,2017-09-08,900067000078381
72808,2017-09-08,900067000078410
72336,2017-09-08,900067000113965
72808,2017-09-08,900067000114009
72808,2017-09-08,900067000114035
72808,2017-09-08,900067000114207
72808,2017-09-08,900067000114229
72336,2017-09-08,900067000114291
72336,2017-09-08,900067000114304
72808,2017-09-08,900067000114325
72808,2017-09-08,900067000114335
72336,2017-09-08,900067000114337
72808,2017-09-08,900067000114529
72808,2017-09-08,900067000114530
72808,2017-09-08,900067000114546
72336,2017-09-08,900067000114548
72808,2017-09-08,900067000114560
72808,2017-09-08,900067000114570
72808,2017-09-08,900067000114572
72808,2017-09-08,900067000114574
72808,2017-09-08,900067000114601
72336,2017-09-08,900067000114635
72336,2017-09-08,900067000114637
72336,2017-09-08,900067000114715
72808,2017-09-08,900067000114802
72808,2017-09-08,900067000114849
72808,2017-09-08,900067000117736
72808,2017-09-08,900067000117756
72808,2017-09-08,900067000117758
72808,2017-09-08,900067000117762
72808,2017-09-08,900067000117763
72336,2017-09-08,982000365440167
72808,2017-09-08,982000365440170
72808,2017-09-08,982000365440180
72808,2017-09-08,982000365440202
72808,2017-09-08,982000365440240
72336,2017-09-08,982000365440271
72336,2017-09-08,982000365440293
72808,2017-09-08,982000365440298
72336,2017-09-08,982000365440301
72808,2017-09-08,982000365440317
72808,2017-09-08,982000365440329
72808,2017-09-08,982000365440346
